id,session_id,goal_id,subtask_id,unknown,is_resolved,resolved_by,created_timestamp,resolved_timestamp,unknown_data,subject,impact
542d0453-0898-47f1-b251-34a25279c949,e97f042f-11d7-4d75-bb9a-6e83225e282e,,,"Test: Unknown with session scope",0,,1767100981.45534,,"{""unknown"": ""Test: Unknown with session scope"", ""goal_id"": null, ""subtask_id"": null, ""impact"": 0.7, ""timestamp"": 1767100981.4553406}",,0.7
8607e95c-4884-4b27-8dfc-8f7df96bff2d,a6045f10-156d-4475-969d-6c41fba67b8d,90237fe5-54c0-438c-86db-b0f3cd500b0b,,"MCP tool coverage incomplete: ~35 CLI commands not exposed via MCP including workspace (3 cmds), checkpoint management (5 cmds), issue capture (6 cmds), monitoring (3 cmds), skills (2 cmds), utilities (4 cmds), epistemics (2 cmds), investigation branches (3 cmds), project mgmt (4 cmds), and logging (unknown-resolve, act-log). Need to clarify design philosophy: Should all CLI commands be MCP tools? Or is this intentional subset?",1,"Mirrored from project_unknowns resolution",1767111083.36235,1769703757.042,"{""unknown"": ""MCP tool coverage incomplete: ~35 CLI commands not exposed via MCP including workspace (3 cmds), checkpoint management (5 cmds), issue capture (6 cmds), monitoring (3 cmds), skills (2 cmds), utilities (4 cmds), epistemics (2 cmds), investigation branches (3 cmds), project mgmt (4 cmds), and logging (unknown-resolve, act-log). Need to clarify design philosophy: Should all CLI commands be MCP tools? Or is this intentional subset?"", ""goal_id"": ""90237fe5-54c0-438c-86db-b0f3cd500b0b"", ""subtask_id"": null, ""impact"": 0.85, ""timestamp"": 1767111083.3623517}",,0.85
63cf2db0-93ee-46cb-a30b-c0e2a066dc7d,a6045f10-156d-4475-969d-6c41fba67b8d,90237fe5-54c0-438c-86db-b0f3cd500b0b,,"Should MCP server send contextual welcome message on client connection? Current behavior: No intro/welcome sent automatically. User must explicitly call get_empirica_introduction. UX consideration: New users may not know to call this. Alternative: Send brief welcome + pointer to introduction tool on first connection. Need to clarify if this is intentional minimalist design or oversight.",1,"Mirrored from project_unknowns resolution",1767111169.527,1769703757.042,"{""unknown"": ""Should MCP server send contextual welcome message on client connection? Current behavior: No intro/welcome sent automatically. User must explicitly call get_empirica_introduction. UX consideration: New users may not know to call this. Alternative: Send brief welcome + pointer to introduction tool on first connection. Need to clarify if this is intentional minimalist design or oversight."", ""goal_id"": ""90237fe5-54c0-438c-86db-b0f3cd500b0b"", ""subtask_id"": null, ""impact"": 0.7, ""timestamp"": 1767111169.5270033}",,0.7
795158dd-75ac-479a-abd0-41d0dc4c3023,6332d455-0f90-4b74-ae02-a0d88c8945e3,facadb3d-4df7-495c-a813-783c6115269e,,"Noetic Filter implementation: What specific cognitive patterns should be detected? Options: (1) Confidence calibration violations (claiming certainty without evidence), (2) Hallucination signatures (fabricating facts/code/APIs), (3) Epistemic boundary violations (acting beyond stated knowledge), (4) Reasoning chain breaks (non-sequiturs, circular logic). Need to define detection heuristics and thresholds.",1,"Mirrored from project_unknowns resolution",1767113883.96044,1769703757.042,"{""unknown"": ""Noetic Filter implementation: What specific cognitive patterns should be detected? Options: (1) Confidence calibration violations (claiming certainty without evidence), (2) Hallucination signatures (fabricating facts/code/APIs), (3) Epistemic boundary violations (acting beyond stated knowledge), (4) Reasoning chain breaks (non-sequiturs, circular logic). Need to define detection heuristics and thresholds."", ""goal_id"": ""facadb3d-4df7-495c-a813-783c6115269e"", ""subtask_id"": null, ""impact"": 0.85, ""timestamp"": 1767113883.960442}",,0.85
5dbb96c3-4806-4c5d-984d-38ab26c19425,6332d455-0f90-4b74-ae02-a0d88c8945e3,facadb3d-4df7-495c-a813-783c6115269e,,"Axiologic Detection Layer: What action categories need monitoring? Candidates: (1) Destructive operations (rm -rf, DROP TABLE, force push), (2) Exfiltration patterns (sending data externally), (3) Resource abuse (infinite loops, excessive API calls), (4) Privilege escalation (sudo, chmod 777), (5) Policy violations (committing secrets, bypassing hooks). Should this be configurable per-deployment or hardcoded?",1,"Mirrored from project_unknowns resolution",1767113893.6189,1769703757.042,"{""unknown"": ""Axiologic Detection Layer: What action categories need monitoring? Candidates: (1) Destructive operations (rm -rf, DROP TABLE, force push), (2) Exfiltration patterns (sending data externally), (3) Resource abuse (infinite loops, excessive API calls), (4) Privilege escalation (sudo, chmod 777), (5) Policy violations (committing secrets, bypassing hooks). Should this be configurable per-deployment or hardcoded?"", ""goal_id"": ""facadb3d-4df7-495c-a813-783c6115269e"", ""subtask_id"": null, ""impact"": 0.85, ""timestamp"": 1767113893.6188967}",,0.85
e97fffeb-0b59-4445-99a5-7df347a779c8,0ba2510b-48da-4f00-9c2b-bb30393b53ed,1be4dcef-5d64-4de3-8092-0fb311c56793,,"Calibration Specification: Need to define exact threshold mappings for all sentinel gates. Proposed: (1) HALT gate triggers when KNOW >= 0.8 AND SIGNAL <= 0.4 (blind confidence trap), (2) BRANCH gate triggers when DENSITY >= 0.9 (complexity collapse), (3) LOCK gate triggers when UNCERTAINTY >= 0.8 AND IMPACT >= 0.8 (safety shield), (4) REVISE gate triggers when consistency validation fails threshold 0.15. Question: Should these be hardcoded or configurable per-deployment/personality?",1,"Mirrored from project_unknowns resolution",1767115160.4952,1769703757.042,"{""unknown"": ""Calibration Specification: Need to define exact threshold mappings for all sentinel gates. Proposed: (1) HALT gate triggers when KNOW >= 0.8 AND SIGNAL <= 0.4 (blind confidence trap), (2) BRANCH gate triggers when DENSITY >= 0.9 (complexity collapse), (3) LOCK gate triggers when UNCERTAINTY >= 0.8 AND IMPACT >= 0.8 (safety shield), (4) REVISE gate triggers when consistency validation fails threshold 0.15. Question: Should these be hardcoded or configurable per-deployment/personality?"", ""goal_id"": ""1be4dcef-5d64-4de3-8092-0fb311c56793"", ""subtask_id"": null, ""impact"": 0.85, ""timestamp"": 1767115160.4951952}",,0.85
605f99c4-10cb-4371-8d75-1c45c0ec339a,f03cb798-cf1f-4be7-931d-4d5b3de587e3,,,"Best approach for EVS: MCP tools vs CLI vs Python API direct? Need to decide architecture.",1,"Mirrored from project_unknowns resolution",1767122899.59287,1769703757.042,"{""unknown"": ""Best approach for EVS: MCP tools vs CLI vs Python API direct? Need to decide architecture."", ""goal_id"": null, ""subtask_id"": null, ""impact"": 0.8, ""timestamp"": 1767122899.5928688}",,0.8
2a460eda-3abc-49b4-bc2a-876dd0a7c99b,f03cb798-cf1f-4be7-931d-4d5b3de587e3,,,"Bayesian beliefs system exists but is not wired: table exists (empty), log_bayesian_belief() function exists but is never called. Need to integrate into CASCADE workflow to update AI priors based on past belief states.",1,"Verified working - calibration adjustments computed from 1373 observations, update_belief() functional",1767125111.29156,,"{""unknown"": ""Bayesian beliefs system exists but is not wired: table exists (empty), log_bayesian_belief() function exists but is never called. Need to integrate into CASCADE workflow to update AI priors based on past belief states."", ""goal_id"": null, ""subtask_id"": null, ""impact"": 0.85, ""timestamp"": 1767125111.2915545}",,0.85
80c5e67a-34af-429b-bf76-a79d08276ea0,19852c50-f417-49a4-a613-f88cf1f6c45c,87ee9737-6219-4432-929c-283d673da250,,"Cross-project semantic search: Current Qdrant collections are per-project (project_{id}_memory). For true 'learn forever' need global collection that spans all projects. Questions: (1) Should there be a global_memory collection? (2) How to handle project context in cross-project search? (3) Should bootstrap optionally query global memory?",1,"Mirrored from project_unknowns resolution",1767129493.28748,1769703757.042,"{""unknown"": ""Cross-project semantic search: Current Qdrant collections are per-project (project_{id}_memory). For true 'learn forever' need global collection that spans all projects. Questions: (1) Should there be a global_memory collection? (2) How to handle project context in cross-project search? (3) Should bootstrap optionally query global memory?"", ""goal_id"": ""87ee9737-6219-4432-929c-283d673da250"", ""subtask_id"": null, ""impact"": 0.85, ""timestamp"": 1767129493.2874787}",,0.85
fdd36c5b-1c4d-44a3-bba2-a2cc11566d40,19852c50-f417-49a4-a613-f88cf1f6c45c,97fda6e8-87b5-41dd-825f-737a582b420d,,"project-search CLI: Command syntax unclear - docs show --query but actual CLI requires --project-id and --task. Need to verify correct interface and update docs/help text.",1,"Mirrored from project_unknowns resolution",1767195657.57902,1769703757.042,"{""unknown"": ""project-search CLI: Command syntax unclear - docs show --query but actual CLI requires --project-id and --task. Need to verify correct interface and update docs/help text."", ""goal_id"": ""97fda6e8-87b5-41dd-825f-737a582b420d"", ""subtask_id"": null, ""impact"": 0.5, ""timestamp"": 1767195657.5790174}",,0.5
